Name,CPRD: Difficulty,CPRD: Est (min),CPRD: Priority,CPRD: Schema Version,CPRD: Unit Type,Category,Companies,Completed,Difficulty,Interview Frequency,Interview Signal,LeetCode Link,Notes,Pattern Notes,Pattern Role,Primary Pattern,Priority,Purpose,Role,Secondary Pattern,Source,Status,Sub-Pattern,TUF Link,Thinking Level
Word Break II,,,,,,Trie / DP,,No,Hard,,,,,,,Trie + DP,,Trie-DP-backtrack fusion,,Backtracking,AlgoTracker,,,,
Palindrome Pairs,,,,,,Trie,,No,Hard,,,,,,,Trie + Hashing,,Reverse-string trie trick,,String,AlgoTracker,,,,
Count of Smaller Numbers After Self,,,,,,BIT / Segment Tree,,No,Hard,,,,,,,Coordinate Compression,,Offline + BIT classic,,BIT,AlgoTracker,,,,
Rectangle Area II,,,,,,Sweep Line,,No,Hard,,,,,,,Sweep + Segment Tree,,Full sweep-line DS fusion,,Geometry,AlgoTracker,,,,
Mo's Algorithm for Range Queries,,,,,,Mo's Algorithm,,No,Hard,,,,,,,Offline Query,,Offline query regime exposure,,Frequency Array,AlgoTracker,,,,
Threshold Majority Queries,,,,,,Mo's Algorithm,,No,Hard,,,,,,,Mo's + BIT,,Advanced Mo variant,,Hybrid,AlgoTracker,,,,
Random Pick with Weight,,,,,,Randomization,,No,Medium,,,,,,,Prefix Probability,,Weighted random selection,,Sampling,AlgoTracker,,,,
Insert Delete GetRandom O(1),,,,,,Randomization,,No,Medium,,,,,,,HashMap + Array,,Randomized DS invariant,,Design,AlgoTracker,,,,
Reservoir Sampling,,,,,,Randomization,,No,Hard,,,,,,,Probability,,True streaming randomization,,Streaming,AlgoTracker,,,,
Bitmask DP (Smallest Sufficient Team),,,,,,DP,,No,Hard,,,,,,,Bitmask DP,,State-compressed DP,,State Compression,AlgoTracker,,,,
Cherry Pickup II,,,,,,DP,,No,Hard,,,,,,,Grid DP,,Multi-agent DP,,State Transition,AlgoTracker,,,,
Convex Hull,,,,,,Geometry,,No,Hard,,,,,,,Monotonic Hull,,Computational geometry foundation,,Cross Product,AlgoTracker,,,,
All O`one Data Structure,,,,,,Design,,No,Hard,,,,,,,HashMap + DLL,,Constant-time frequency DS,,Design,AlgoTracker,,,,
Two Sum,,,,,,Two Pointers,"Amazon, Apple, Google, Meta, Microsoft",No,Easy,High,Most common baseline,https://leetcode.com/problems/two-sum/,,Hash Map pattern - complementary pairs. Foundation for many array problems.,Core,Two Pointers,P0 - Must Do,Core,Core,Complement,Striver A2Z,,Two Pointers,,L2
Trapping Rain Water,,,,,,Two Pointers,"Amazon, Google, Meta",No,Hard,High,Classic two pointer + greedy,https://leetcode.com/problems/trapping-rain-water/,,"Two pointers from ends. Track max left/right. Water = min(maxL, maxR) - height.",Core,Two Pointers,P0 - Must Do,Core,Core,Greedy move,Striver A2Z,,Two Pointers,,L5
4Sum,,,,,,Two Pointers,"Amazon, Google",No,Medium,Medium,Generalization of 3Sum,https://leetcode.com/problems/4sum/,,Two nested loops + two pointers. Handle duplicates carefully.,Reinforcement,Two Pointers,P1 - High,Reinforcement,Reinforcement,Dedup,Striver A2Z,,Two Pointers,,L5
Remove Duplicates from Sorted Array,,,,,,Two Pointers,"Amazon, Microsoft",No,Easy,Medium,In-place array modification,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,,Two pointers: slow (write) and fast (read). Classic in-place pattern.,Core,Two Pointers,P1 - High,Core,Core,In-place,Striver A2Z,,Two Pointers,,L3
Container With Most Water,,,,,,Two Pointers,"Amazon, Google, Meta",No,Medium,High,Greedy pointer elimination,https://leetcode.com/problems/container-with-most-water/,,Two pointers from ends. Move shorter height. Classic greedy!,Core,Two Pointers,P0 - Must Do,Core,Core,Greedy move,Striver A2Z,,Two Pointers,,L4
Binary Search,,,,,,Binary Search,"Amazon, Google, Meta",No,Easy,High,Foundational search algorithm,https://leetcode.com/problems/binary-search/,,Classic binary search. Foundation for all BS problems.,Core,Binary Search,P0 - Must Do,Core,Core,Basics,Striver A2Z,,Binary Search,,L2
Find Peak Element,,,,,,Binary Search,"Amazon, Google, Meta",No,Medium,High,Peak finding with BS,https://leetcode.com/problems/find-peak-element/,,"Binary search: if nums[mid] < nums[mid+1], peak in right half.",Core,Binary Search,P1 - High,Core,Core,Peak logic,Striver A2Z,,Binary Search,,L4
Find First and Last Position of Element in Sorted Array,,,,,,Binary Search,"Amazon, Google, Meta",No,Medium,High,BS with boundary conditions,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,,"Two BS: find first occurrence, then last. Classic boundary BS.",Core,Binary Search,P1 - High,Core,Core,Boundary BS,Striver A2Z,,Binary Search,,L4
Search in Rotated Sorted Array,,,,,,Binary Search,"Amazon, Google, Meta",No,Medium,High,Case analysis under rotation,https://leetcode.com/problems/search-in-rotated-sorted-array/,,Find sorted half. Binary search! Classic rotation problem.,Core,Binary Search,P0 - Must Do,Core,Core,Rotation invariant,Striver A2Z,,Binary Search,,L5
Koko Eating Bananas,,,,,,Binary Search,"Amazon, Google",No,Medium,High,Canonical BSOA,https://leetcode.com/problems/koko-eating-bananas/,,Binary search on answer. Binary search on speed!,Core,Binary Search on Answer,P1 - High,Core,Core,Feasibility,Striver A2Z,,Binary Search on Answer,,L5
Capacity to Ship Packages Within D Days,,,,,,Binary Search,"Amazon, Google",No,Medium,High,Classic BSOA validator design,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,,"Binary search on ship capacity. For each mid, check if can ship in D days.",Core,Binary Search on Answer,P0 - Must Do,Core,Core,Greedy feasibility,Striver A2Z,,Binary Search on Answer,,L5
Reverse Linked List,,,,,,Linked List,"Amazon, Google, Meta",No,Easy,High,Core pointer manipulation,https://leetcode.com/problems/reverse-linked-list/,,Foundation for all LL problems! Iterative and recursive solutions.,Core,Linked List,P0 - Must Do,Core,Core,Pointer reversal,Striver A2Z,,Linked List,,L2
Merge Two Sorted Lists,,,,,,Linked List,"Amazon, Google, Meta",No,Easy,High,Foundational merge,https://leetcode.com/problems/merge-two-sorted-lists/,,Iterative or recursive merge. Foundation!,Core,Linked List,P0 - Must Do,Core,Core,Merge,Striver A2Z,,Linked List,,L2
Linked List Cycle,,,,,,Linked List,"Amazon, Meta",No,Easy,High,Classic pointer trick,https://leetcode.com/problems/linked-list-cycle/,,Floyd's cycle detection (slow/fast pointers). Foundation!,Core,Two Pointers,P0 - Must Do,Core,Core,Cycle detect,Striver A2Z,,Linked List,,L3
Intersection of Two Linked Lists,,,,,,Linked List,"Amazon, Google, Meta",No,Easy,Medium,Pointer math,https://leetcode.com/problems/intersection-of-two-linked-lists/,,"Two pointers: traverse both, switch at end. Or hash set.",Core,Two Pointers,P1 - High,Core,Core,Math,Striver A2Z,,Linked List,,L4
Remove Nth Node From End of List,,,,,,Linked List,"Amazon, Meta",No,Medium,High,One-pass pointer trick,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,,Two pointers with n gap. One pass solution!,Core,Two Pointers,P1 - High,Core,Core,Gap technique,Striver A2Z,,Linked List,,L4
Kth Largest Element in an Array,,,,,,Heaps,"Amazon, Google, Meta",No,Medium,High,Tradeoffs under constraints,https://leetcode.com/problems/kth-largest-element-in-an-array/,,QuickSelect O(n) avg or Heap O(n log k).,Core,Heap,P0 - Must Do,Core,Core,Selection,Striver A2Z,,Heap,,L5
Top K Frequent Elements,,,,,,Heaps,"Amazon, Google, Meta",No,Medium,High,Frequency + selection,https://leetcode.com/problems/top-k-frequent-elements/,,Heap or bucket sort. O(n log k) vs O(n).,Core,Heap,P0 - Must Do,Core,Core,Frequency,Striver A2Z,,Heap,,L5
Meeting Rooms II,,,,,,Heaps,"Amazon, Google, Meta, Microsoft",No,Medium,High,Intervals + heap,https://leetcode.com/problems/meeting-rooms-ii/,,Sort intervals by start. Use min-heap of end times.,Core,Heap,P0 - Must Do,Core,Core,Intervals,Striver A2Z,,Heap,,L4
Find Median from Data Stream,,,,,,Heaps,"Amazon, Google, Meta",No,Hard,High,Streaming median invariant,https://leetcode.com/problems/find-median-from-data-stream/,,"Two heaps: max heap for lower, min heap for upper. Balance!",Core,Two Heaps,P0 - Must Do,Core,Core,Streaming,Striver A2Z,,Two Heaps,,L5
Merge K Sorted Lists,,,,,,Heaps,"Amazon, Google, Meta",No,Hard,High,Merge streams,https://leetcode.com/problems/merge-k-sorted-lists/,,Min heap with list heads. Or divide & conquer merge.,Core,Heap,P0 - Must Do,Core,Core,k-way merge,Striver A2Z,,Heap,,L6
Same Tree,,,,,,Binary Trees,"Amazon, Google",No,Easy,High,Tree recursion baseline,https://leetcode.com/problems/same-tree/,,Compare recursively. Check both structure and values.,Core,Tree DFS,P0 - Must Do,Core,Core,Compare,Striver A2Z,,Binary Tree,,L2
Maximum Depth of Binary Tree,,,,,,Binary Trees,"Amazon, Google, Meta",No,Easy,High,Fundamental tree recursion,https://leetcode.com/problems/maximum-depth-of-binary-tree/,,"Foundation tree DFS. max(left_depth, right_depth) + 1.",Core,Tree DFS,P0 - Must Do,Core,Core,Recursion,Striver A2Z,,Binary Tree,,L2
Invert Binary Tree,,,,,,Binary Trees,"Amazon, Google, Meta",No,Easy,High,Foundational recursion,https://leetcode.com/problems/invert-binary-tree/,,Swap left and right recursively. Simple!,Core,Tree DFS,P0 - Must Do,Core,Core,Swap,Striver A2Z,,Binary Tree,,L2
Binary Tree Level Order Traversal,,,,,,Binary Trees,"Amazon, Google, Meta",No,Medium,High,Bread-and-butter traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,,BFS with queue. Track level. Foundation!,Core,Tree BFS,P0 - Must Do,Core,Core,Queue levels,Striver A2Z,,Binary Tree,,L3
Path Sum,,,,,,Binary Trees,"Amazon, Google, Meta",No,Easy,Medium,Path problems,https://leetcode.com/problems/path-sum/,,DFS with target sum. Subtract node value from target.,Core,Tree DFS,P1 - High,Core,Core,Path,Striver A2Z,,Binary Tree,,L3
Lowest Common Ancestor of Binary Tree,,,,,,Binary Trees,"Amazon, Google, Meta",No,Medium,High,Recursive reasoning,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,,Return node if found p or q. LCA = node where both subtrees return non-null.,Core,Tree DFS,P0 - Must Do,Core,Core,Postorder,Striver A2Z,,Binary Tree,,L5
Permutations,,,,,,Backtracking,"Amazon, Google, Meta",No,Medium,High,State exploration,https://leetcode.com/problems/permutations/,,Swap elements or use visited array. Foundation!,Core,Backtracking,P0 - Must Do,Core,Core,Visited/swap,Striver A2Z,,Backtracking,,L4
Subsets,,,,,,Backtracking,"Amazon, Google, Meta",No,Medium,High,Subset generation,https://leetcode.com/problems/subsets/,,Backtracking OR iterative. Foundation!,Core,Backtracking,P0 - Must Do,Core,Core,Iterative alt,Striver A2Z,,Backtracking,,L4
Combination Sum,,,,,,Backtracking,"Amazon, Google, Meta",No,Medium,High,State-space exploration,https://leetcode.com/problems/combination-sum/,,Backtracking with reuse allowed. Can pick same element multiple times!,Core,Backtracking,P0 - Must Do,Core,Core,Reuse,Striver A2Z,,Backtracking,,L4
N-Queens,,,,,,Backtracking,"Amazon, Google",No,Hard,Medium,Constraint propagation,https://leetcode.com/problems/n-queens/,,Backtracking with constraint checking!,Core,Backtracking,P1 - High,Synthesis,Synthesis,Constraint sets,Striver A2Z,,Backtracking,,L6
Word Search,,,,,,Backtracking,"Amazon, Meta",No,Medium,High,Grid backtracking,https://leetcode.com/problems/word-search/,,"DFS + backtracking on grid. Mark visited, restore after.",Core,Grid DFS,P1 - High,Core,Core,Backtracking,Striver A2Z,,Backtracking,,L4
Climbing Stairs,,,,,,Dynamic Programming,"Amazon, Google, Meta",No,Easy,High,DP warm-up,https://leetcode.com/problems/climbing-stairs/,,Fibonacci! dp[i] = dp[i-1] + dp[i-2].,Core,DP,P0 - Must Do,Core,Core,Fibonacci,Striver A2Z,,DP,,L2
House Robber,,,,,,Dynamic Programming,"Amazon, Google, Meta",No,Medium,High,Classic DP recurrence,https://leetcode.com/problems/house-robber/,,"dp[i] = max(dp[i-1], dp[i-2] + nums[i]). Classic 1D DP!",Core,DP,P0 - Must Do,Core,Core,House robber,Striver A2Z,,DP,,L3
Coin Change,,,,,,Dynamic Programming,"Amazon, Google, Meta",No,Medium,High,Template DP,https://leetcode.com/problems/coin-change/,,Unbounded knapsack. dp[i] = min coins for amount i.,Core,DP,P0 - Must Do,Core,Core,Unbounded knapsack,Striver A2Z,,DP,,L4
Unique Paths,,,,,,Dynamic Programming,"Amazon, Google, Meta",No,Medium,High,Grid DP recurrence,https://leetcode.com/problems/unique-paths/,,dp[i][j] = dp[i-1][j] + dp[i][j-1]. Grid DP foundation!,Core,Grid DP,P0 - Must Do,Core,Core,2D DP,Striver A2Z,,DP,,L4
Longest Common Subsequence,,,,,,Dynamic Programming,"Amazon, Google, Meta",No,Medium,High,Canonical DP,https://leetcode.com/problems/longest-common-subsequence/,,Classic 2D DP. LCS[i][j] = max lengths.,Core,String DP,P0 - Must Do,Core,Core,2D DP,Striver A2Z,,DP,,L5
Edit Distance,,,,,,Dynamic Programming,"Amazon, Google, Microsoft",No,Hard,High,Core string DP,https://leetcode.com/problems/edit-distance/,,Levenshtein distance. Classic 2D DP. Insert/delete/replace operations.,Core,String DP,P1 - High,Synthesis,Synthesis,2D transitions,Striver A2Z,,DP,,L5
Longest Substring Without Repeating Characters,,,,,,Sliding Window,"Amazon, Google, Meta",No,Medium,High,Canonical window,https://leetcode.com/problems/longest-substring-without-repeating-characters/,,Sliding window with HashSet. Move left when duplicate!,Core,Sliding Window,P0 - Must Do,Core,Core,Set/map,Striver A2Z,,Sliding Window,,L4
Minimum Window Substring,,,,,,Sliding Window,"Amazon, Google, Meta",No,Hard,High,Hard window invariant,https://leetcode.com/problems/minimum-window-substring/,,Sliding window with two pointers. Track char counts!,Core,Sliding Window,P0 - Must Do,Core,Core,Counts + validity,Striver A2Z,,Sliding Window,,L6
Longest Repeating Character Replacement,,,,,,Sliding Window,"Amazon, Meta",No,Medium,Medium,Subtle invariant,https://leetcode.com/problems/longest-repeating-character-replacement/,,Window size - max count <= k. Don't shrink max count!,Core,Sliding Window,P1 - High,Synthesis,Synthesis,Frequency,Striver A2Z,,Sliding Window,,L5
Subarray Product Less Than K,,,,,,Sliding Window,"Amazon, Google",No,Medium,Medium,Non-additive window,https://leetcode.com/problems/subarray-product-less-than-k/,,Sliding window with product. Count valid subarrays.,Core,Sliding Window,P1 - High,Synthesis,Synthesis,Multiplicative,Striver A2Z,,Sliding Window,,L5
Valid Parentheses,,,,,,Stack,"Amazon, Google, Meta",No,Easy,High,Stack baseline,https://leetcode.com/problems/valid-parentheses/,,Stack for matching pairs. Most asked stack problem!,Core,Stack,P0 - Must Do,Core,Core,Matching,Striver A2Z,,Stack,,L2
Daily Temperatures,,,,,,Stack,"Amazon, Google, Meta",No,Medium,High,Next greater element,https://leetcode.com/problems/daily-temperatures/,,Monotonic stack. Find next greater element.,Core,Monotonic Stack,P1 - High,Core,Core,NGE,Striver A2Z,,Stack,,L4
Next Greater Element I,,,,,,Stack,"Amazon, Microsoft",No,Easy,Medium,Core monotonic template,https://leetcode.com/problems/next-greater-element-i/,,Monotonic decreasing stack. Foundation!,Core,Monotonic Stack,P1 - High,Core,Core,NGE,Striver A2Z,,Stack,,L3
Decode String,,,,,,Stack,"Amazon, Google",No,Medium,Medium,Nested structure decoding,https://leetcode.com/problems/decode-string/,,"Stack for numbers and strings. When ], pop and repeat.",Core,Stack,P1 - High,Reinforcement,Reinforcement,Nested parsing,Striver A2Z,,Stack,,L4
Group Anagrams,,,,,,Strings,"Amazon, Google, Meta",No,Medium,High,Key normalization,https://leetcode.com/problems/group-anagrams/,,Sorted string or char count as key.,Core,Hashing,P0 - Must Do,Core,Core,Canonical form,Striver A2Z,,String,,L3
Longest Palindromic Substring,,,,,,Strings,"Amazon, Microsoft",No,Medium,High,Palindrome expansion,https://leetcode.com/problems/longest-palindromic-substring/,,Expand from center. O(n²) or Manacher's O(n).,Core,String,P1 - High,Core,Core,Expand centers,Striver A2Z,,String,,L4
Word Break,,,,,,Strings,"Amazon, Google",No,Medium,High,Segmentation DP,https://leetcode.com/problems/word-break/,,DP on strings. dp[i] = can segment s[0..i-1].,Core,String DP,P1 - High,Synthesis,Synthesis,Dictionary,Striver A2Z,,String,,L5
Implement Trie (Prefix Tree),,,,,,Strings,"Amazon, Google, Meta",No,Medium,High,Core DS structure,https://leetcode.com/problems/implement-trie-prefix-tree/,,TrieNode with children map + isEnd. Foundation!,Core,Trie,P0 - Must Do,Core,Core,Prefix matching,Striver A2Z,,String,,L4
Jump Game,,,,,,Greedy,"Amazon, Google, Meta",No,Medium,High,Greedy invariant,https://leetcode.com/problems/jump-game/,,"Track farthest reachable. If current > farthest, return false.",Core,Greedy,P0 - Must Do,Core,Core,Reachability,Striver A2Z,,Greedy,,L4
Merge Intervals,,,,,,Greedy,"Amazon, Google, Meta",No,Medium,High,Interval merging,https://leetcode.com/problems/merge-intervals/,,Sort by start. Merge if overlapping. Very common!,Core,Intervals,P0 - Must Do,Core,Core,Sorting,Striver A2Z,,Greedy,,L4
Non-overlapping Intervals,,,,,,Greedy,"Amazon, Meta",No,Medium,Medium,Classic interval scheduling,https://leetcode.com/problems/non-overlapping-intervals/,,Sort by end time. Greedy: keep interval with earliest end.,Core,Intervals,P1 - High,Synthesis,Synthesis,Greedy,Striver A2Z,,Greedy,,L5
Number of Islands,,,,,,Graphs,"Amazon, Google, Meta",No,Medium,High,Connected components,https://leetcode.com/problems/number-of-islands/,,DFS/BFS on grid. Mark visited. Count connected components.,Core,Grid DFS/BFS,P0 - Must Do,Core,Core,Components,Striver A2Z,,Graph,,L4
Course Schedule,,,,,,Graphs,"Amazon, Google, Meta",No,Medium,High,Dependency resolution,https://leetcode.com/problems/course-schedule/,,Topological sort or cycle detection. Foundation!,Core,Topo sort,P0 - Must Do,Core,Core,Cycle detection,Striver A2Z,,Graph,,L4
Clone Graph,,,,,,Graphs,"Amazon, Google, Meta",No,Medium,High,Deep copy + visited mapping,https://leetcode.com/problems/clone-graph/,,DFS/BFS + HashMap for original->clone mapping. Meta loves this!,Core,Graph DFS/BFS,P0 - Must Do,Core,Core,Hash map mapping,Striver A2Z,,Graph,,L4
Rotting Oranges,,,,,,Graphs,"Amazon, Meta",No,Medium,Medium,BFS wavefront modeling,https://leetcode.com/problems/rotting-oranges/,,Multi-source BFS. Start from all rotten oranges!,Core,Multi-source BFS,P1 - High,Synthesis,Synthesis,Queue levels,Striver A2Z,,Graph,,L5
Word Ladder,,,,,,Graphs,"Amazon, Google, Meta",No,Hard,High,Modeling + BFS,https://leetcode.com/problems/word-ladder/,,BFS with word transformation. Build graph implicitly.,Core,BFS,P1 - High,Synthesis,Synthesis,Implicit graph,Striver A2Z,,Graph,,L6
Contains Duplicate,,,,,,HashSet,"Amazon, Google",No,Easy,High,Fundamental hashing use,https://leetcode.com/problems/contains-duplicate/,,Hash set usage. Foundation for duplicate detection patterns.,Core,Hash Set,P0 - Must Do,Core,Core,Basics,Striver A2Z,,HashSet,,L2
First Unique Character in a String,,,,,,HashMap,"Amazon, Google, Meta",No,Easy,Medium,Frequency counting,https://leetcode.com/problems/first-unique-character-in-a-string/,,"Count frequencies, find first with count 1.",Core,HashMap,P1 - High,Core,Core,Frequency,Striver A2Z,,HashMap,,L3
Intersection of Two Arrays,,,,,,HashSet,"Amazon, Google",No,Easy,Low,Set operations,https://leetcode.com/problems/intersection-of-two-arrays/,,Use sets to compute intersection efficiently.,Core,HashSet,P1 - High,Core,Core,Set intersection,Striver A2Z,,HashSet,,L2
Largest Rectangle in Histogram,,,,,,Monotonic Stack,"Amazon, Google, Meta",No,Hard,High,Stack boundary calc under constraints,https://leetcode.com/problems/largest-rectangle-in-histogram/,,Use NSL/NSR to compute width. Area = height * (right-left-1). Base for 2D extensions.,Core,Monotonic Stack,P0 - Must Do,Core,Core,Boundary Expansion,AlgoTracker,,Histogram Boundaries,,L6
Sum of Subarray Minimums,,,,,,Monotonic Stack,"Amazon, Google",No,Hard,Medium,Contribution counting via stack spans,https://leetcode.com/problems/sum-of-subarray-minimums/,,Each element contributes as min across its left/right span. Use modulo.,Core,Monotonic Stack,P1 - High,Core,Core,Contribution Technique,AlgoTracker,,Span Contribution,,L5
Sliding Window Median,,,,,,Sliding Window,"Amazon, Meta",No,Hard,Medium,Heap invariant maintenance in window,https://leetcode.com/problems/sliding-window-median/,,Two heaps + lazy deletion. Balance sizes to extract median.,Variant,Two Heaps,P1 - High,Variant,Reinforcement,Lazy Deletion,AlgoTracker,,Median Maintenance,,L5
Range Sum Query 2D - Immutable,,,,,,Prefix Sum,"Google, Meta",No,Medium,Medium,2D prefix matrix queries,https://leetcode.com/problems/range-sum-query-2d-immutable/,,prefix[i+1][j+1] inclusion-exclusion. Query O(1).,Core,2D Prefix Sum,P1 - High,Core,Core,Matrix Prefix,AlgoTracker,,Range Query,,L3
Number of Submatrices That Sum to Target,,,,,,Prefix Sum,"Amazon, Microsoft",No,Hard,Low,2D prefix + hashmap fusion,https://leetcode.com/problems/number-of-submatrices-that-sum-to-target/,,Fix rows," compress columns"," apply subarray sum = target.",Variant,2D Prefix Sum,P2 - Medium,Variant,Reinforcement,Row Compression,AlgoTracker,,2D Reduction
Corporate Flight Bookings,,,,,,Difference Array,"Amazon, Google",No,Medium,Medium,Range update batching,https://leetcode.com/problems/corporate-flight-bookings/,,Apply diff range updates then prefix to rebuild.,Core,Difference Array,P1 - High,Core,Core,Range Updates,AlgoTracker,,Prefix Restore,,L4
Increment Submatrices by One,,,,,,Difference Array,Meta,No,Medium,Low,2D range updates,https://leetcode.com/problems/range-addition-ii/,,2D diff array + prefix reconstruction.,Variant,2D Difference Array,P2 - Medium,Variant,Reinforcement,Corner Marking,AlgoTracker,,Matrix Diff,,L4
Longest Increasing Subsequence using BS,,,,,,Dynamic Programming,"Google, Meta",No,Medium,High,Optimization via binary search,https://leetcode.com/problems/longest-increasing-subsequence/,,Patience sorting using tails array.,Core,Binary Search + DP,P1 - High,Core,Core,Tails Array,AlgoTracker,,Optimization DP,,L5
Count Sub Islands,,,,,,Graphs,"Amazon, Meta",No,Medium,Medium,DFS subset validation,https://leetcode.com/problems/count-sub-islands/,,DFS and invalidate if grid2 cell not present in grid1.,Variant,Grid DFS,P1 - High,Variant,Reinforcement,Subset Validation,AlgoTracker,,Grid Matching,,L4
Basic Calculator,,,,,,Stack,"Amazon, Google",No,Hard,High,Infix parsing & precedence,https://leetcode.com/problems/basic-calculator/,,Stack for signs and parentheses. Evaluate expression inline.,Core,Stack,P1 - High,Core,Core,Expression Parsing,AlgoTracker,,Infix Eval,,L6
Shortest Bridge,,,,,,Graphs,"Google, Meta",No,Medium,Medium,Multi-source BFS,https://leetcode.com/problems/shortest-bridge/,,DFS first island then BFS expansion.,Variant,Multi-source BFS,P1 - High,Variant,Reinforcement,Layered BFS,AlgoTracker,,Island Distance,,L4
Implement strStr() - KMP Algorithm,,,,,,Strings,"Amazon, Google",No,Easy,High,Linear pattern matching,https://leetcode.com/problems/implement-strstr/,,Build LPS and scan text without backtracking.,Core,KMP,P0 - Must Do,Core,Core,LPS Array,AlgoTracker,,Pattern Match,,L4
Count Primes,,,,,,Math,"Amazon, Microsoft",No,Easy,Medium,Sieve prime generation,https://leetcode.com/problems/count-primes/,,Mark multiples using Sieve of Eratosthenes.,Core,Sieve,P1 - High,Core,Core,Prime Marking,AlgoTracker,,Number Theory,,L3
Min Cost to Connect All Points,,,,,,Graphs,"Amazon, Google",No,Medium,Medium,MST construction,https://leetcode.com/problems/min-cost-to-connect-all-points/,,Prim's on implicit complete graph.,Core,MST,P1 - High,Core,Core,Prim's Algorithm,AlgoTracker,,Graph Modeling,,L5
Kruskal's Algorithm,,,,,,Graphs,Meta,No,Medium,Low,Edge-based MST,https://leetcode.com/problems/min-cost-to-connect-all-points/,,Sort edges and union via DSU.,Reinforcement,MST,P2 - Medium,Reinforcement,Reinforcement,DSU Union,AlgoTracker,,Edge Sorting,,L4
Sum of Distances in Tree,,,,,,Graphs,Google,No,Hard,Low,Tree rerooting DP,https://leetcode.com/problems/sum-of-distances-in-tree/,,Postorder + reroot to compute all answers.,Core,Re-rooting DP,P2 - Medium,Core,Core,Tree Reroot,AlgoTracker,,Subtree Counts,,L6
Floyd Warshall Algorithm,,,,,,Graphs,Amazon,No,Medium,Low,All-pairs shortest paths,https://leetcode.com/problems/find-shortest-paths-from-source-to-all-nodes/,,DP over intermediate nodes.,Reinforcement,All-Pairs Shortest Path,P2 - Medium,Reinforcement,Reinforcement,Floyd-Warshall,AlgoTracker,,3D DP,,L4
Regions Cut By Slashes,,,,,,Disjoint Set Union,Google,No,Hard,Low,Grid DSU modeling,https://leetcode.com/problems/regions-cut-by-slashes/,,Split each cell into 4 and union accordingly.,Core,Grid DSU,P2 - Medium,Core,Core,Cell Decomposition,AlgoTracker,,Geometry to DSU,,L5
Largest Component Size by Common Factor,,,,,,Disjoint Set Union,Meta,No,Hard,Low,Factor-based DSU,https://leetcode.com/problems/largest-component-size-by-common-factor/,,Union numbers by shared prime factors.,Variant,Factor DSU,P2 - Medium,Variant,Reinforcement,Prime Factors,AlgoTracker,,GCD Union,,L5
Stream of Characters,,,,,,Tries,Amazon,No,Hard,Medium,Online suffix matching,https://leetcode.com/problems/stream-of-characters/,,Reverse trie queried per character.,Variant,Trie,P2 - Medium,Variant,Reinforcement,Reverse Trie,AlgoTracker,,Streaming Query,,L5
Inversion Count in Array using BIT,,,,,,Binary Index Tree,Google,No,Medium,Medium,Offline inversion counting,https://leetcode.com/problems/count-of-smaller-numbers-after-self/,,Coordinate compress + BIT queries.,Core,BIT,P1 - High,Core,Core,Index Compression,AlgoTracker,,Order Statistics,,L5
Skyline Problem,,,,,,Sweep Line,"Amazon, Meta",No,Hard,High,Event-based skyline extraction,https://leetcode.com/problems/the-skyline-problem/,,Process building edges with heap.,Core,Sweep Line,P1 - High,Core,Core,Height Events,AlgoTracker,,Max Heap,,L6
Mo's Algorithm Introduction,,,,,,Mo's Algorithm,Meta,No,Hard,Low,Offline range queries,https://leetcode.com/problems/range-module/,,Sort queries by block," adjust pointers.",Core,Mo's Algorithm,P2 - Medium,Core,Core,SQRT Decomposition,AlgoTracker,,Offline Queries,
Random Flip Matrix,,,,,,Randomization,Google,No,Hard,Low,Uniform random without repetition,https://leetcode.com/problems/random-flip-matrix/,,Map picked index to tail," shrink range.",Variant,Randomization,P2 - Medium,Variant,Reinforcement,Index Mapping,AlgoTracker,,Uniform Sampling,
Burst Balloons,,,,,,Dynamic Programming,"Amazon, Google",No,Hard,High,Interval DP,https://leetcode.com/problems/burst-balloons/,,Choose last balloon in interval.,Core,Interval DP,P1 - High,Core,Core,Partition DP,AlgoTracker,,Divide & Conquer DP,,L6
New 21 Game,,,,,,Dynamic Programming,Google,No,Medium,Low,Probabilistic DP,https://leetcode.com/problems/new-21-game/,,Sliding window probability DP.,Variant,Probabilistic DP,P2 - Medium,Variant,Reinforcement,Expectation DP,AlgoTracker,,Probability Window,,L4
Can I Win,,,,,,Dynamic Programming,Microsoft,No,Hard,Low,Game DP with memo,https://leetcode.com/problems/can-i-win/,,Bitmask DP with minimax.,Core,Bitmask DP,P2 - Medium,Core,Core,State Compression,AlgoTracker,,Game Theory DP,,L6
Convex Hull (Erect the Fence),,,,,,Geometry,Google,No,Hard,Low,Convex hull construction,https://leetcode.com/problems/erect-the-fence/,,Graham scan using cross products.,Core,Computational Geometry,P2 - Medium,Core,Core,Graham Scan,AlgoTracker,,Cross Product,,L5
